sr_no,id,original_language,original_title,release_date,vote_average,vote_count,genre,overview,revenue,runtime,gender
0,580489.0,en,Venom: Let There Be Carnage,9/30/2021,6.8,1736.0,Science Fiction Action Adventure,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",424000000.0,97.0,0
1,524434.0,en,Eternals,11/3/2021,7.1,622.0,Action Adventure Science Fiction Fantasy,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.",165000000.0,157.0,0
2,438631.0,en,Dune,9/15/2021,8.0,3632.0,Action Adventure Science Fiction,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planets exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanitys greatest potential-only those who can conquer their fear will survive.",331116356.0,155.0,1
3,796499.0,en,Army of Thieves,10/27/2021,6.9,555.0,ActionCrimeThriller,A mysterious woman recruits bank teller Ludwig Dieter to lead a group of aspiring thieves on a top-secret heist during the early stages of the zombie apocalypse.,107503530.61488006,127.0,0
4,550988.0,en,Free Guy,8/11/2021,7.8,3493.0,ComedyActionAdventureScience Fiction,A bank teller called Guy realizes he is a background character in an open world video game called Free City that will soon go offline.,331096766.0,115.0,1
5,574060.0,en,Gunpowder Milkshake,7/14/2021,6.5,347.0,ActionThrillerCrime,"In her turbulent life as a professional assassin, Sam has no choice but to go rogue to save the life of an innocent 8-year-old girl in the middle of the gang war she has unleashed.",344931.0,114.0,0
6,335983.0,en,Venom,9/28/2018,6.8,12126.0,Science FictionAction,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",855013954.0,112.0,1
7,610253.0,en,Halloween Kills,10/14/2021,7.0,1134.0,HorrorThriller,"Minutes after Laurie Strode, her daughter Karen and granddaughter Allyson left masked monster Michael Myers caged and burning in Lauries basement, Laurie is rushed to the hospital with life-threatening injuries, believing she finally killed her lifelong tormentor. But when Michael manages to free himself from Lauries trap, his ritual bloodbath resumes. As Laurie fights her pain and prepares to defend herself against him, she inspires all of Haddonfield to rise up against their unstoppable monster. The Strode women join a group of other survivors of Michaels first rampage who decide to take matters into their own hands, forming a vigilante mob that sets out to hunt Michael down, once and for all.",118852075.0,105.0,1
8,871964.0,pl,W lesie dziś nie zaśnie nikt 2,10/27/2021,4.1,72.0,HorrorThriller,"When something horrible happens to the only survivor of a bloody massacre, an insecure rookie cop must overcome his fears to stop further carnage.",107503530.61488006,96.0,0
9,768449.0,en,American Badger,3/5/2021,6.3,14.0,ActionThriller,"A seemingly cold-blooded hitman is assigned to befriend a call girl, but all hell breaks loose when he is assigned to kill her.",107503530.61488006,88.0,0
