sr_no,id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline
8,871964,pl,W lesie dziÅ› nie zaÅ›nie nikt 2,1089.852,10/27/2021,4.1,72,"['Horror', 'Thriller']","When something horrible happens to the only survivor of a bloody massacre, an insecure rookie cop must overcome his fears to stop further carnage.",0,96,
16,760747,no,I onde dager,863.019,7/30/2021,6.8,118,"['Action', 'Comedy', 'Thriller', 'Horror']","A dysfunctional couple head to a remote lakeside cabin under the guise of reconnecting, but each has secret designs to kill the other. Before they can carry out their respective plans, unexpected visitors arrive and the couple is faced with a greater danger than anything they could have plotted.",0,113,Til Death Do Us Part
20,879163,pt,PeÃ§anha Contra o Animal,943.619,10/22/2021,5.4,13,"['Comedy', 'Crime']",,0,67,
21,589754,ru,?Ÿ??ÑÅ?»?µ?´???¸?? ?±?????°Ñ‚Ñ‹Ñ€ÑŒ: ????Ñ€?µ??ÑŒ ?·?»?°,835.043,1/1/2021,7,63,"['Fantasy', 'Adventure', 'Comedy']","Peace and tranquility have set in Belogorie. The evil was defeated and Ivan is now enjoying his well-deserved fame. He is surrounded by his family, friends and small wonders from the modern world that help him lead a comfortable life. Luckily, he has his Magic Sword to cut a gap between the worlds to get some supplies quite regularly. But when an ancient evil rises and the existence of the magic world is put to danger, Ivan has to team up with his old friends and his new rivals. They will set out on a long journey beyond the known world to find a way to defeat the enemies and to return peace to Belogorie.",27658331,120,
22,846167,pl,W jak morderstwo,957.866,6/18/2021,5.8,25,"['Crime', 'Mystery', 'Drama', 'Comedy']",A stay-at-home mom and avid reader of crime stories discovers the deepest secrets of a small town's residents while investigating a woman's murder.,0,104,
27,772436,es,Matando Cabos 2: La MÃ¡scara del MÃ¡scara,693.568,10/1/2021,7.9,57,"['Action', 'Comedy', 'Adventure']","Faced with the unexpected death of his estranged father -El MÃ¡scara- and the subsequent theft of his precious mask, RubÃ©n -Mascarita- will find himself confronted with his past. Alongside his invincible bodyguard Tony ""The Cannibal"" and, an unexpected ally, he will have only one day to recover it and make amends with the memory of his father.",0,0,
31,613098,es,OperaciÃ?n CamarÃ?n,585.313,6/24/2021,5.5,17,['Comedy'],"Geeky-looking Sebas is a surprisingly good classical musician. Heâ€™s also a complete unknown in the criminal underworld, and as a new newbie on the police force, that makes him the perfect man for a dangerous mission: to go undercover as a keyboard player for â€œLos Lolosâ€ù, a cheesy flamenco-trap band, who have been hired to play at the wedding of a local mafia bossâ€™ daughter that a major drug trafficker will be attending.  Sebas is keen to take on the mission, blissfully unaware that he will turn out to be even cheesier than Lolo, the bandâ€™s lead singer, and fall in love with his sister, Luci. Now Sebas will face a tough choice: remain loyal to his new friends or complete his police mission.",0,90,
37,874948,tr,Kin,579.316,10/8/2021,6.6,32,"['Crime', 'Drama', 'Thriller']","Ahead of a promotion, a police chief becomes entangled in a deadly incident and uncovers an intrigue fueled by grudge that threatens his colleagues.",0,104,
48,637534,fr,BAC Nord,486.411,8/18/2021,7.7,483,"['Crime', 'Thriller']","A police brigade working in the dangerous northern neighborhoods of Marseille, where the level of crime is higher than anywhere else in France.",0,105,
51,859041,zh,ç–¯ç‹‚ç?„æ‹?å?´,504.28,5/25/2017,7.6,37,['Action'],"After an opponent dies mid-match, a prominent MMA champion swore never to fight again and retired to run his family's company. But when his best friend dies under suspicious circumstances, he has no choice but to step back in the ring.",0,97,
