sr_no,id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline,english_text
146,719088,ja,イエスかノーか半分か,234.805,12/11/2020,6.4,11,"['Animation', 'Drama', 'Romance']","Kunieda Kei is a popular, young TV announcer whose public and private personas are so different, they might be called extreme. On the outside, he is the picture of perfection, affectionately nicknamed ""The Prince,"" while on the inside he is constantly cursing at all of the incompetence around him. Of course, no one knows this secret of his.  One day, Kei meets animation artist Tsuzuki Ushio for a work assignment. While Kei is in ""inside mode,"" he later runs into Tsuzuki, who doesn't recognize him in his worn-out sweats and a facemask, but as compensation for injuring Tsuzuki's arm, Kei gets roped into helping out with his work.",$0.00,53,,Jesus or no or half
221,572154,ja,青春ブタ野郎はゆめみる少女の夢を見ない,168.435,6/15/2019,8.5,317,"['Animation', 'Comedy', 'Romance', 'Drama', 'Fantasy']","In Fujisawa, Sakuta Azusagawa is in his second year of high school. Blissful days with his girlfriend and upperclassman, Mai Sakurajima, are interrupted by the appearance of his first crush, Shoko Makinohara.",$0.00,90,I will engrave your figure into everyone's memory.,Youth Butterfly does not dream of Yumimiru girl
344,568160,ja,天気の子,126.581,6/19/2019,8.1,1228,"['Fantasy', 'Animation', 'Romance', 'Drama']","The summer of his high school freshman year, Hodaka runs away from his remote island home to Tokyo, and quickly finds himself pushed to his financial and personal limits. The weather is unusually gloomy and rainy every day, as if taking its cue from his life. After many days of solitude, he finally finds work as a freelance writer for a mysterious occult magazine. Then, one day, Hodaka meets Hina on a busy street corner. This bright and strong-willed girl possesses a strange and wonderful ability: the power to stop the rain and clear the sky.","$186,965,409.00",112,A story about the secret of this world that only I and she know.,Child of the weather
501,12429,ja,崖の上のポニョ,90.365,7/19/2008,7.7,2989,"['Animation', 'Fantasy', 'Family']","The son of a sailor, 5-year old Sosuke, lives a quiet life on an oceanside cliff with his mother Lisa. One fateful day, he finds a beautiful goldfish trapped in a bottle on the beach and upon rescuing her, names her Ponyo. But she is no ordinary goldfish.","$202,404,009.00",100,Welcome to a world where anything is possible.,Ponyo on the cliff
615,683127,ja,アーヤと魔女,76.883,1/27/2021,6.4,72,"['Animation', 'Fantasy', 'Family']",A headstrong orphan discovers a world of spells and potions while living with a selfish witch.,"$384,659.00",82,,Aya and Witch
643,504253,ja,君の膵臓をたべたい,68.613,9/1/2018,8.3,860,"['Animation', 'Drama', 'Romance', 'Family']","Spring time in April and the last of the cherry blossoms are still in bloom. The usually aloof bookworm with no interest in others comes across a book in a hospital waiting room. Handwritten on the cover are the words: ""Living with Dying."" He soon discovers that it is a diary kept by his very popular and genuinely cheerful classmate, Sakura Yamauchi, who reveals to him that she is secretly suffering from a pancreatic illness and only has a limited time left. It is at this moment that she gains just one more person to share her secret. Trying to maintain a normal life as much as possible, Sakura is determined to live her life to the fullest until the very last day. As her free spirit and unpredictable actions throw him for a loop, his heart begins to gradually change.","$33,748,006.00",108,This is a story about an unforgettable spring...,I want to eat your pancreas
657,667520,ja,泣きたい私は猫をかぶる,76.534,6/18/2020,8.1,867,"['Animation', 'Drama', 'Romance', 'Fantasy', 'Science Fiction']","Miyo ""Muge"" Sasaki is a peculiar second-year junior high student who has fallen in love with her classmate Kento Hinode. Muge resolutely pursues Kento every day, but he takes no notice of her. Nevertheless, while carrying a secret she can tell no one, Muge continues to pursue Kento. Muge discovers a magic mask that allows her to transform into a cat named Tarō. The magic lets Muge get close to Kento, but eventually it may also make her unable to transform back to a human.",$0.00,104,,I want to cry I wear a cat
745,453071,ja,ナルトが火影になった日,76.611,7/6/2016,7.6,156,"['Comedy', 'Animation', 'Action', 'Adventure']",Depicts the day that Naruto Uzumaki became the 7th Hokage. Packaged with Boruto the Movie.,$0.00,11,,The day Naruto became a fire
788,129,ja,千と千尋の神隠し,72.923,7/20/2001,8.5,11996,"['Animation', 'Family', 'Fantasy']","A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.","$274,925,095.00",125,,Spirited Away
818,58857,ja,十三人の刺客,68.629,9/9/2010,7.3,785,"['Adventure', 'Drama', 'Action']",A bravado period action film set at the end of Japan's feudal era in which a group of unemployed samurai are enlisted to bring down a sadistic lord and prevent him from ascending to the throne and plunging the country into a war-torn future.,"$17,555,141.00",141,Take up your sword.,Thirteen assassin
